fixture_date,season,division,home_team,away_team,home_score,away_score,URLs,fixtureID
2023-09-25,23,2,Southwick Sports C,Champion House  A,4,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505702.html,NA
2023-10-02,23,2,Champion House  A,Champion House B,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505704.html,NA
2023-10-02,23,2,Moulsecoomb Club A,Moulsecoomb Club B,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505708.html,NA
2023-10-02,23,2,Portslade Legion,Southwick Sports C,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505707.html,NA
2023-10-02,23,2,Southwick Sports A,Preston Club,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505706.html,NA
2023-10-02,23,2,Southwick Sports B,Hove Deep Sea Anglers,1,4,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505705.html,NA
2023-10-09,23,2,Champion House B,Portslade Legion,4,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505709.html,NA
2023-10-09,23,2,Hove Deep Sea Anglers,Moulsecoomb Club B,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505710.html,NA
2023-10-09,23,2,Moulsecoomb Club A,Moulsecoomb Club C,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505711.html,NA
2023-10-09,23,2,Preston Club,Champion House  A,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505712.html,NA
2023-10-09,23,2,Southwick Sports C,Southwick Sports B,4,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505713.html,NA
2023-10-16,23,2,Hove Deep Sea Anglers,Moulsecoomb Club A,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505715.html,NA
2023-10-16,23,2,Moulsecoomb Club B,Southwick Sports C,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505716.html,NA
2023-10-16,23,2,Portslade Legion,Preston Club,1,4,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505717.html,NA
2023-10-16,23,2,Southwick Sports A,Moulsecoomb Club C,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505718.html,NA
2023-10-16,23,2,Southwick Sports B,Champion House B,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505714.html,NA
2023-10-30,23,2,Champion House B,Moulsecoomb Club B,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505720.html,NA
2023-10-30,23,2,Moulsecoomb Club A,Southwick Sports A,1,4,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505719.html,NA
2023-10-30,23,2,Moulsecoomb Club C,Champion House  A,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505721.html,NA
2023-10-30,23,2,Preston Club,Southwick Sports B,4,1,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505722.html,NA
2023-10-30,23,2,Southwick Sports C,Hove Deep Sea Anglers,1,4,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505723.html,NA
2023-11-06,23,2,Champion House  A,Southwick Sports A,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505727.html,NA
2023-11-06,23,2,Hove Deep Sea Anglers,Champion House B,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505724.html,NA
2023-11-06,23,2,Moulsecoomb Club B,Preston Club,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505728.html,NA
2023-11-06,23,2,Portslade Legion,Moulsecoomb Club C,1,4,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505726.html,NA
2023-11-06,23,2,Southwick Sports C,Moulsecoomb Club A,3,2,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505725.html,NA
2023-11-13,23,2,Champion House B,Southwick Sports C,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505733.html,NA
2023-11-13,23,2,Moulsecoomb Club A,Champion House  A,2,3,http://brightonhovedistrictsnooker.leaguerepublic.com/match/35505730.html,NA
