Date dd/mm/yyyy,Time HH:MM,Division,Home Team,Away Team,Venue,Pitch,Home Score,Away Score,Season
14/02/2011,19:00,Division 2,St. Matthias B,Champion House A,,,3,2,10
21/02/2011,19:00,Division 2,Aldrington Club B,Champion House A,,,3,2,10
21/02/2011,19:00,Division 2,Annunciation Club A,St. Matthias B,,,0,5,10
21/02/2011,19:00,Division 2,Champion House B,Aldrington Club A,,,,,10
21/02/2011,19:00,Division 2,National Association of Railway Clubs A,Preston Club A,,,4,1,10
28/02/2011,19:00,Division 2,Aldrington Club A,Annunciation Club A,,,,,10
28/02/2011,19:00,Division 2,Champion House A,National Association of Railway Clubs A,,,1,4,10
28/02/2011,19:00,Division 2,Preston Club A,Champion House B,,,4,1,10
28/02/2011,19:00,Division 2,St. Matthias B,Aldrington Club B,,,4,1,10
07/03/2011,19:00,Division 2,Aldrington Club A,St. Matthias B,,,,,10
07/03/2011,19:00,Division 2,Annunciation Club A,Preston Club A,,,3,2,10
07/03/2011,19:00,Division 2,Champion House B,Champion House A,,,2,3,10
07/03/2011,19:00,Division 2,National Association of Railway Clubs A,Aldrington Club B,,,2,3,10
14/03/2011,19:00,Division 2,Aldrington Club B,Champion House B,,,4,1,10
14/03/2011,19:00,Division 2,Champion House A,Annunciation Club A,,,3,2,10
14/03/2011,19:00,Division 2,Preston Club A,Aldrington Club A,,,,,10
14/03/2011,19:00,Division 2,St. Matthias B,National Association of Railway Clubs A,,,4,1,10
21/03/2011,19:00,Division 2,Aldrington Club A,Champion House A,,,,,10
21/03/2011,19:00,Division 2,Annunciation Club A,Aldrington Club B,,,2,3,10
21/03/2011,19:00,Division 2,Champion House B,National Association of Railway Clubs A,,,1,4,10
21/03/2011,19:00,Division 2,Preston Club A,St. Matthias B,,,3,2,10
28/03/2011,19:00,Division 2,Aldrington Club B,Aldrington Club A,,,,,10
28/03/2011,19:00,Division 2,Champion House A,Preston Club A,,,3,2,10
28/03/2011,19:00,Division 2,National Association of Railway Clubs A,Annunciation Club A,,,1,4,10
28/03/2011,19:00,Division 2,St. Matthias B,Champion House B,,,4,1,10
04/04/2011,19:00,Division 2,Aldrington Club A,National Association of Railway Clubs A,,,,,10
04/04/2011,19:00,Division 2,Annunciation Club A,Champion House B,,,3,2,10
04/04/2011,19:00,Division 2,Champion House A,St. Matthias B,,,2,3,10
04/04/2011,19:00,Division 2,Preston Club A,Aldrington Club B,,,4,1,10
11/04/2011,19:00,Division 2,Aldrington Club A,Champion House B,,,,,10
11/04/2011,19:00,Division 2,Champion House A,Aldrington Club B,,,2,3,10
11/04/2011,19:00,Division 2,Preston Club A,National Association of Railway Clubs A,,,2,3,10
11/04/2011,19:00,Division 2,St. Matthias B,Annunciation Club A,,,3,2,10
06/09/2010,19:00,Division 3,Champion House C,Moulsecoomb Club B,,,2,3,10
06/09/2010,19:00,Division 3,Goldstone Ex-Services Club A,Hove Deep Sea Anglers A,,,3,2,10
06/09/2010,19:00,Division 3,Southwick Sports A,Southwick Sports B,,,4,1,10
13/09/2010,19:00,Division 3,Hove Deep Sea Anglers A,Southwick Sports A,,,3,2,10
13/09/2010,19:00,Division 3,Moulsecoomb Club B,St. Matthias C,,,3,2,10
13/09/2010,19:00,Division 3,Southwick Sports B,Champion House C,,,3,2,10
20/09/2010,19:00,Division 3,Champion House C,Hove Deep Sea Anglers A,,,4,1,10
20/09/2010,19:00,Division 3,Moulsecoomb Club B,Southwick Sports B,,,3,2,10
20/09/2010,19:00,Division 3,St. Matthias C,Goldstone Ex-Services Club A,,,1,4,10
27/09/2010,19:00,Division 3,Goldstone Ex-Services Club A,Southwick Sports A,,,4,1,10
27/09/2010,19:00,Division 3,Hove Deep Sea Anglers A,Moulsecoomb Club B,,,0,5,10
27/09/2010,19:00,Division 3,Southwick Sports B,St. Matthias C,,,4,1,10
04/10/2010,19:00,Division 3,Champion House C,Goldstone Ex-Services Club A,,,4,1,10
04/10/2010,19:00,Division 3,Southwick Sports B,Hove Deep Sea Anglers A,,,4,1,10
04/10/2010,19:00,Division 3,St. Matthias C,Southwick Sports A,,,4,1,10
11/10/2010,19:00,Division 3,Goldstone Ex-Services Club A,Moulsecoomb Club B,,,2,3,10
11/10/2010,19:00,Division 3,Hove Deep Sea Anglers A,St. Matthias C,,,4,1,10
11/10/2010,19:00,Division 3,Southwick Sports A,Champion House C,,,0,5,10
18/10/2010,19:00,Division 3,Moulsecoomb Club B,Southwick Sports A,,,4,1,10
18/10/2010,19:00,Division 3,Southwick Sports B,Goldstone Ex-Services Club A,,,2,3,10
18/10/2010,19:00,Division 3,St. Matthias C,Champion House C,,,3,2,10
25/10/2010,19:00,Division 3,Hove Deep Sea Anglers A,Goldstone Ex-Services Club A,,,1,4,10
25/10/2010,19:00,Division 3,Moulsecoomb Club B,Champion House C,,,4,1,10
25/10/2010,19:00,Division 3,Southwick Sports B,Southwick Sports A,,,2,3,10
01/11/2010,19:00,Division 3,Champion House C,Southwick Sports B,,,1,4,10
01/11/2010,19:00,Division 3,Southwick Sports A,Hove Deep Sea Anglers A,,,2,3,10
01/11/2010,19:00,Division 3,St. Matthias C,Moulsecoomb Club B,,,5,0,10
08/11/2010,19:00,Division 3,Goldstone Ex-Services Club A,St. Matthias C,,,1,4,10
08/11/2010,19:00,Division 3,Hove Deep Sea Anglers A,Champion House C,,,2,3,10
08/11/2010,19:00,Division 3,Southwick Sports B,Moulsecoomb Club B,,,,,10
15/11/2010,19:00,Division 3,Moulsecoomb Club B,Hove Deep Sea Anglers A,,,3,2,10
15/11/2010,19:00,Division 3,Southwick Sports A,Goldstone Ex-Services Club A,,,3,2,10
15/11/2010,19:00,Division 3,St. Matthias C,Southwick Sports B,,,5,0,10
22/11/2010,19:00,Division 3,Goldstone Ex-Services Club A,Champion House C,,,2,3,10
22/11/2010,19:00,Division 3,Hove Deep Sea Anglers A,Southwick Sports B,,,4,1,10
22/11/2010,19:00,Division 3,Southwick Sports A,St. Matthias C,,,1,4,10
06/12/2010,19:00,Division 3,Champion House C,Southwick Sports A,,,3,2,10
06/12/2010,19:00,Division 3,Moulsecoomb Club B,Goldstone Ex-Services Club A,,,2,3,10
06/12/2010,19:00,Division 3,St. Matthias C,Hove Deep Sea Anglers A,,,4,1,10
13/12/2010,19:00,Division 3,Champion House C,St. Matthias C,,,0,5,10
13/12/2010,19:00,Division 3,Goldstone Ex-Services Club A,Southwick Sports B,,,3,2,10
13/12/2010,19:00,Division 3,Southwick Sports A,Moulsecoomb Club B,,,2,3,10
10/01/2011,19:00,Division 3,Hove Deep Sea Anglers A,Southwick Sports A,,,4,1,10
10/01/2011,19:00,Division 3,Moulsecoomb Club B,St. Matthias C,,,2,3,10
10/01/2011,19:00,Division 3,Southwick Sports B,Champion House C,,,2,3,10
17/01/2011,19:00,Division 3,Champion House C,Hove Deep Sea Anglers A,,,1,4,10
17/01/2011,19:00,Division 3,Moulsecoomb Club B,Southwick Sports B,,,3,2,10
17/01/2011,19:00,Division 3,St. Matthias C,Goldstone Ex-Services Club A,,,4,1,10
24/01/2011,19:00,Division 3,Goldstone Ex-Services Club A,Southwick Sports A,,,3,2,10
24/01/2011,19:00,Division 3,Hove Deep Sea Anglers A,Moulsecoomb Club B,,,4,1,10
24/01/2011,19:00,Division 3,Southwick Sports B,St. Matthias C,,,2,3,10
31/01/2011,19:00,Division 3,Champion House C,Goldstone Ex-Services Club A,,,2,3,10
31/01/2011,19:00,Division 3,Southwick Sports B,Hove Deep Sea Anglers A,,,1,4,10
31/01/2011,19:00,Division 3,St. Matthias C,Southwick Sports A,,,5,0,10
07/02/2011,19:00,Division 3,Goldstone Ex-Services Club A,Moulsecoomb Club B,,,2,3,10
07/02/2011,19:00,Division 3,Hove Deep Sea Anglers A,St. Matthias C,,,2,3,10
07/02/2011,19:00,Division 3,Southwick Sports A,Champion House C,,,2,3,10
14/02/2011,19:00,Division 3,Moulsecoomb Club B,Southwick Sports A,,,2,1,10
14/02/2011,19:00,Division 3,Southwick Sports B,Goldstone Ex-Services Club A,,,3,2,10
14/02/2011,19:00,Division 3,St. Matthias C,Champion House C,,,2,3,10
21/02/2011,19:00,Division 3,Hove Deep Sea Anglers A,Goldstone Ex-Services Club A,,,1,4,10
21/02/2011,19:00,Division 3,Moulsecoomb Club B,Champion House C,,,1,4,10
21/02/2011,19:00,Division 3,Southwick Sports B,Southwick Sports A,,,5,0,10
28/02/2011,19:00,Division 3,Champion House C,Southwick Sports B,,,3,2,10
28/02/2011,19:00,Division 3,Southwick Sports A,Hove Deep Sea Anglers A,,,4,1,10
28/02/2011,19:00,Division 3,St. Matthias C,Moulsecoomb Club B,,,4,1,10
07/03/2011,19:00,Division 3,Goldstone Ex-Services Club A,St. Matthias C,,,1,4,10
07/03/2011,19:00,Division 3,Hove Deep Sea Anglers A,Champion House C,,,3,2,10
07/03/2011,19:00,Division 3,Southwick Sports B,Moulsecoomb Club B,,,2,3,10
14/03/2011,19:00,Division 3,Moulsecoomb Club B,Hove Deep Sea Anglers A,,,2,3,10
14/03/2011,19:00,Division 3,Southwick Sports A,Goldstone Ex-Services Club A,,,2,3,10
14/03/2011,19:00,Division 3,St. Matthias C,Southwick Sports B,,,2,3,10
21/03/2011,19:00,Division 3,Goldstone Ex-Services Club A,Champion House C,,,5,0,10
21/03/2011,19:00,Division 3,Hove Deep Sea Anglers A,Southwick Sports B,,,2,3,10
21/03/2011,19:00,Division 3,Southwick Sports A,St. Matthias C,,,2,3,10
28/03/2011,19:00,Division 3,Champion House C,Southwick Sports A,,,4,1,10
28/03/2011,19:00,Division 3,Moulsecoomb Club B,Goldstone Ex-Services Club A,,,2,3,10
28/03/2011,19:00,Division 3,St. Matthias C,Hove Deep Sea Anglers A,,,3,2,10
04/04/2011,19:00,Division 3,Champion House C,St. Matthias C,,,1,4,10
04/04/2011,19:00,Division 3,Goldstone Ex-Services Club A,Southwick Sports B,,,3,2,10
04/04/2011,19:00,Division 3,Southwick Sports A,Moulsecoomb Club B,,,1,4,10
11/04/2011,19:00,Division 3,Champion House C,Moulsecoomb Club B,,,5,0,10
11/04/2011,19:00,Division 3,Goldstone Ex-Services Club A,Hove Deep Sea Anglers A,,,1,4,10
11/04/2011,19:00,Division 3,Southwick Sports A,Southwick Sports B,,,,,10
06/09/2010,19:00,Division 4,Castle Snooker Club D,Goldstone Ex-Services Club B,,,5,0,10
06/09/2010,19:00,Division 4,Moulsecoomb Club C,Castle Snooker Club E,,,4,1,10
06/09/2010,19:00,Division 4,National Association of Railway Clubs B,National Association of Railway Clubs C,,,3,2,10
13/09/2010,19:00,Division 4,Castle Snooker Club E,National Association of Railway Clubs B,,,2,3,10
13/09/2010,19:00,Division 4,Goldstone Ex-Services Club B,Annunciation Club B,,,4,1,10
