fixture_date,season,division,home_team,away_team,home_sp,away_sp,url,home_op,away_op
2023-03-22,22,1,St. Matthias B,St. Matthias A,10,14,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054324.html,487,586
2023-03-08,22,1,Moulsecoomb B,St. Matthias B,10,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054321.html,508,559
2023-03-08,22,1,St. Matthias A,Moulsecoomb A,15,9,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054322.html,600,508
2023-03-01,22,1,Moulsecoomb B,St. Matthias A,13,12,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054320.html,564,533
2023-03-01,22,1,St. Matthias B,Hassocks A,11,14,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054319.html,519,587
2023-02-22,22,1,Hassocks A,Moulsecoomb B,14,12,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054318.html,574,548
2023-02-15,22,1,Moulsecoomb A,St. Matthias B,11,12,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054317.html,531,535
2023-02-01,22,1,Hassocks A,St. Matthias A,13,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054316.html,529,569
2023-02-01,22,1,Moulsecoomb B,Moulsecoomb A,14,12,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054315.html,592,564
2023-01-25,22,1,Moulsecoomb A,Hassocks A,12,13,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054314.html,553,553
2023-01-25,22,1,St. Matthias A,St. Matthias B,13,8,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054313.html,564,449
2023-01-18,22,1,Moulsecoomb A,St. Matthias A,15,10,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054311.html,600,510
2023-01-18,22,1,St. Matthias B,Moulsecoomb B,15,10,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054312.html,600,532
2022-12-21,22,1,Hassocks A,St. Matthias B,14,10,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054309.html,581,506
2022-12-21,22,1,St. Matthias A,Moulsecoomb B,14,11,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054310.html,589,545
2022-12-07,22,1,Moulsecoomb B,Hassocks A,12,12,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054307.html,549,514
2022-12-07,22,1,St. Matthias B,Moulsecoomb A,14,11,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054308.html,585,539
2022-11-30,22,1,Moulsecoomb A,Moulsecoomb B,12,15,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054306.html,565,600
2022-11-30,22,1,St. Matthias A,Hassocks A,14,11,http://brightonhovedistrictbilliards.leaguerepublic.com/match/33054305.html,590,498
